0,1,2,3,4,5,6,7,8,9,10
whole milk,pastry,salty snack,,,,,,,,
sausage,whole milk,semi-finished bread,yogurt,,,,,,,
soda,pickled vegetables,,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
sausage,hygiene articles,,,,,,,,,
sausage,whole milk,rolls/buns,,,,,,,,
whole milk,soda,,,,,,,,,
frankfurter,soda,whipped/sour cream,,,,,,,,
frankfurter,curd,,,,,,,,,
beef,white bread,,,,,,,,,
butter,whole milk,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
butter milk,specialty chocolate,,,,,,,,,
frozen meals,dental care,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
root vegetables,detergent,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
dish cleaner,cling film/bags,,,,,,,,,
canned beer,frozen fish,,,,,,,,,
pip fruit,whole milk,tropical fruit,,,,,,,,
root vegetables,whole milk,pastry,,,,,,,,
rolls/buns,red/blush wine,chocolate,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
whole milk,chocolate,packaged fruit/vegetables,rolls/buns,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
whipped/sour cream,margarine,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
bottled water,softener,rolls/buns,,,,,,,,
whole milk,rice,,,,,,,,,
shopping bags,skin care,,,,,,,,,
whole milk,frankfurter,chicken,frankfurter,flour,chocolate,bottled beer,rolls/buns,,,
hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,,
tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film,,,
canned fish,cocoa drinks,,,,,,,,,
herbs,yogurt,newspapers,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pastry,ketchup,,,,,,,,,
pip fruit,coffee,UHT-milk,,,,,,,,
bottled water,specialty bar,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
kitchen towels,sliced cheese,,,,,,,,,
pip fruit,candles,rolls/buns,,,,,,,,
curd cheese,pastry,,,,,,,,,
citrus fruit,candy,bottled water,rolls/buns,,,,,,,
whole milk,frankfurter,candles,grapes,herbs,other vegetables,yogurt,,,,
frozen vegetables,brown bread,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
processed cheese,whole milk,,,,,,,,,
tropical fruit,root vegetables,rolls/buns,onions,shopping bags,,,,,,
hard cheese,napkins,bottled water,,,,,,,,
whole milk,candy,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
mustard,whipped/sour cream,,,,,,,,,
other vegetables,mustard,,,,,,,,,
root vegetables,mayonnaise,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
white bread,meat,domestic eggs,roll products ,,,,,,,
hamburger meat,butter milk,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,sausage,bottled beer,yogurt,,,,,,,
canned beer,cookware,,,,,,,,,
fruit/vegetable juice,rolls/buns,chocolate,,,,,,,,
salty snack,beef,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
soft cheese,pip fruit,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
chicken,red/blush wine,,,,,,,,,
rolls/buns,frankfurter,oil,pip fruit,mayonnaise,,,,,,
other vegetables,root vegetables,,,,,,,,,
yogurt,beef,,,,,,,,,
brown bread,pet care,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
soda,dessert,shopping bags,,,,,,,,
curd,long life bakery product,,,,,,,,,
beverages,domestic eggs,,,,,,,,,
berries,cake bar,,,,,,,,,
butter milk,root vegetables,,,,,,,,,
hamburger meat,red/blush wine,,,,,,,,,
frozen meals,butter,newspapers,yogurt,,,,,,,
canned beer,shopping bags,,,,,,,,,
canned beer,spices,rolls/buns,frozen fish,,,,,,,
sliced cheese,butter,,,,,,,,,
rolls/buns,baking powder,,,,,,,,,
liquor,curd,yogurt,tropical fruit,,,,,,,
beef,napkins,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
chicken,frozen meals,,,,,,,,,
male cosmetics,curd,,,,,,,,,
domestic eggs,soda,,,,,,,,,
sausage,whipped/sour cream,specialty bar,,,,,,,,
whipped/sour cream,root vegetables,rolls/buns,packaged fruit/vegetables,,,,,,,
white bread,bottled beer,yogurt,berries,,,,,,,
fish,root vegetables,tropical fruit,other vegetables,,,,,,,
coffee,shopping bags,,,,,,,,,
ham,cream cheese ,,,,,,,,,
canned beer,UHT-milk,,,,,,,,,
root vegetables,long life bakery product,,,,,,,,,
sausage,dessert,rolls/buns,pickled vegetables,,,,,,,
citrus fruit,yogurt,,,,,,,,,
fruit/vegetable juice,salty snack,candy,dental care,butter,,,,,,
root vegetables,whipped/sour cream,root vegetables,canned beer,,,,,,,
softener,salt,whole milk,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
pork,hamburger meat,,,,,,,,,
rolls/buns,baking powder,onions,bottled water,,,,,,,
rolls/buns,sugar,,,,,,,,,
soda,butter,,,,,,,,,
onions,canned beer,flower (seeds),,,,,,,,
specialty chocolate,root vegetables,,,,,,,,,
dessert,ham,,,,,,,,,
ice cream,pot plants,,,,,,,,,
beverages,cream cheese ,,,,,,,,,
other vegetables,other vegetables,berries,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
white bread,whole milk,pastry,shopping bags,,,,,,,
berries,soda,butter,other vegetables,white bread,cream cheese ,,,,,
ice cream,whipped/sour cream,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
frankfurter,pastry,,,,,,,,,
fruit/vegetable juice,dessert,,,,,,,,,
sausage,snack products,rolls/buns,,,,,,,,
tropical fruit,soda,rolls/buns,,,,,,,,
chicken,waffles,,,,,,,,,
pip fruit,cling film/bags,yogurt,cat food,,,,,,,
bottled water,domestic eggs,frozen meals,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
pip fruit,white wine,white bread,salt,,,,,,,
whole milk,yogurt,yogurt,rolls/buns,,,,,,,
sausage,frozen vegetables,,,,,,,,,
whole milk,newspapers,,,,,,,,,
fruit/vegetable juice,vinegar,,,,,,,,,
tropical fruit,white bread,rolls/buns,,,,,,,,
citrus fruit,shopping bags,chewing gum,cake bar,,,,,,,
frankfurter,yogurt,canned beer,,,,,,,,
margarine,napkins,,,,,,,,,
whole milk,pip fruit,whipped/sour cream,,,,,,,,
sausage,pork,butter,whole milk,fruit/vegetable juice,,,,,,
pip fruit,herbs,frozen meals,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
Instant food products,whipped/sour cream,butter,cake bar,,,,,,,
salty snack,rolls/buns,,,,,,,,,
whole milk,pasta,rolls/buns,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
root vegetables,white bread,,,,,,,,,
tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
chicken,frozen vegetables,candy,,,,,,,,
tropical fruit,brown bread,whole milk,,,,,,,,
prosecco,dessert,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
beef,dessert,,,,,,,,,
tropical fruit,sliced cheese,,,,,,,,,
napkins,whole milk,chocolate marshmallow,,,,,,,,
citrus fruit,rolls/buns,whole milk,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
root vegetables,curd,,,,,,,,,
fruit/vegetable juice,specialty chocolate,Instant food products,,,,,,,,
root vegetables,yogurt,butter,yogurt,,,,,,,
chicken,onions,,,,,,,,,
whole milk,pastry,,,,,,,,,
pork,bottled water,,,,,,,,,
pip fruit,soda,,,,,,,,,
curd,soda,,,,,,,,,
sweet spreads,butter,,,,,,,,,
rolls/buns,condensed milk,whole milk,soda,,,,,,,
rolls/buns,tropical fruit,,,,,,,,,
specialty bar,margarine,,,,,,,,,
butter,whole milk,,,,,,,,,
white bread,candy,,,,,,,,,
frankfurter,herbs,,,,,,,,,
waffles,beverages,,,,,,,,,
pasta,yogurt,cat food,,,,,,,,
house keeping products,yogurt,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
UHT-milk,other vegetables,dishes,,,,,,,,
meat,whole milk,,,,,,,,,
hamburger meat,bottled beer,,,,,,,,,
pork,coffee,frozen vegetables,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
fish,tropical fruit,red/blush wine,cream cheese ,,,,,,,
other vegetables,soda,rolls/buns,dishes,,,,,,,
tropical fruit,other vegetables,hamburger meat,popcorn,female sanitary products,,,,,,
root vegetables,grapes,,,,,,,,,
chicken,beverages,coffee,,,,,,,,
beef,shopping bags,,,,,,,,,
soda,hamburger meat,,,,,,,,,
butter,dog food,,,,,,,,,
soda,whole milk,,,,,,,,,
bottled water,chewing gum,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
butter milk,yogurt,yogurt,margarine,,,,,,,
pork,other vegetables,yogurt,shopping bags,soft cheese,detergent,,,,,
soda,soda,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
whole milk,sugar,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
hamburger meat,pastry,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
bottled beer,oil,,,,,,,,,
frankfurter,citrus fruit,margarine,,,,,,,,
photo/film,other vegetables,,,,,,,,,
pork,white wine,,,,,,,,,
bottled water,yogurt,newspapers,soda,,,,,,,
ham,whole milk,,,,,,,,,
whipped/sour cream,meat spreads,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
salty snack,pickled vegetables,,,,,,,,,
soda,domestic eggs,sliced cheese,soda,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
chicken,other vegetables,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
sausage,bottled water,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
sausage,salty snack,cling film/bags,,,,,,,,
dessert,spread cheese,,,,,,,,,
soda,fruit/vegetable juice,bottled beer,,,,,,,,
beef,chocolate,,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
beverages,dessert,,,,,,,,,
whole milk,tropical fruit,root vegetables,Instant food products,margarine,,,,,,
whole milk,sauces,,,,,,,,,
ham,whipped/sour cream,ketchup,,,,,,,,
white bread,frozen fruits,,,,,,,,,
tropical fruit,whole milk,other vegetables,long life bakery product,,,,,,,
other vegetables,yogurt,whole milk,butter,shopping bags,,,,,,
